dataset,Dyna.-Pla,,Dyna.-S2 seg,,BEN-MM,PASTIS-MM,PASTIS-HD classif,,,,FLAIR,,,Dyna.-MM,OSCD,Dyna.-S2 CD,,LEVIR-CD,fMoW-S2,,BEN-S2,,,RESISC-45,,,,,,,RSD46,,,AID,,,,,PatternNet,,,FAIR1M,DIOR-R,DIOR,Potsdam,,,,,,,iSAID,UCMerced,,,,,,,,RSSCN7,Vaihingen,,,,DGLCC,,,DLRSD,,,LEVIR-OD,,,,LEVIR_CS Cloud,LEVIR_CS Snow,MLRSNet,BigEarthNet 19cls,fMoW-RGB single,,NAIP LC,GeoImageNet,So2Sat,fMoW temporal,,xView OD,SpaceNet BD,SpaceNet2 SR,,EuroSat,,,,,NaSC-TG2,,,Onera CD,Sen12MS,DOTA-V1.0,,,,DOTA-V2.0,LoveDA,HRCS2016,CDD,GID,NWPUVHR-10,UCAS-AOD,HRSC2016,CaiRoad,,CalFire,,DSFIN,WHU Aerial,Inria,SpaceNet2 Shanghai,SpaceNet2 Vegas,SpaceNet2 Paris,SpaceNet2 Khartoum,Canadian Cropland,DFC2020,DW-Expert,MARIDA,GeoNRW RGB,,GeoNRW RGB-DEM,,Sen1Floods11,HLSBurnScars Prithvi,SegMunich,SVCD/CDD,m-bigearthnet,,m-forestnet,m-brick-kiln,m-pv4ger,m-so2sat,m-cashew-plantation,m-SA-crop-type,TreeSatAI,,,,TreeSatAI-TS,,,,m-eurosat,Landslide4sense,,Sen4Map land cover,,,Sen4Map crop type,,
SatMAE ViT-L,"32,8","39,9","30,1","38,7",,,,,,,,,,,"52,76","14,8","16,2","87,65","58,19","63,84","89,5","86,18","68,9",,"94,8","91,72",,,,,,,,"96,94","95,02",,,,,,,"46,55","65,66","70,89",,,"90,63",,,,,"62,97",,,"92,6",,,,,,,,,"70,6",,,,,,,,,,,,,,,,,"77,84","71,77",,,,"81,49",,"78,07","22,742","62,1","99,35",,,,,,,,"45,02",,,,,,,,,,,,,,,,,,"64,98","82,5",83,"81,9","86,6","80,3","76,1","74,06","44,13","51,5","57,12",,,,,,,,,,,,,,,,,"61,4","49,7",,"61,5",,,,,,,,,,,,,
SatMAE ViT-B,,,,,,,,,,,,,,,,,,,"57,2","62,65",,"85,94",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"65,1",,,,,,,,,,"99,2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"73,58","45,53","51,03","58,17",,,,,,,"48,7",,,,,,,,,,,,,,,,,,,,,,,,,,
ViT-S IN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66,,"53,8","98,1","97,6","57,5",,,,,,,,,,,"97,3",,,,,,,,
ViT-B IN,,,,,,,,,,,,,,,"52,23",,,,,,,"84,7","73,6",,"95,23","90,96",,,,,,,,"97,95","96,24",,,,,,,,,,"76,43",,,,,,,,,"99,15","93,1",,"99,46",,,,,,,"72,6",,,,,,,,,,,,,,,,,,,,,,,,,"23,279","61,9","98,83",,,,,,,,"30,73",,,,,,,,,,"62,64","68,2","83,3","82,6",,,,,"68,49","81,6",,,,,,,,,,,,,,"81,06","82,2","48,3",,,,,,,,,,,,,,,,,,,,,,,,,,
ViT-L IN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"75,7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UTAE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"61,59",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RS-BYOL,,,,,,,,,,,,,,,,,,,,,,,,86,,,79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90,,,,,,,,82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GeCo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"96,32",,"97,46",,,,,"94,04","72,77",,,,,,,,,,"79,72",,,,"77,65","57,78",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RingMo ViT,,,,,,,,,,,,,,,,,,"91,85",,,,,,,"95,35",,,,,,,,,"98,38","96,9",,,,,,,"46,21",,"75,9",,,"91,27","91,7",,,,"67,2",,,,,"99,46",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RingMo Swin-B,,,,,,,,,,,,,,,,,,,,,,,,,"95,67","94,25",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
